Date,VIX,SPY,SPY_Volume,SPY_Return,SPY_Return_5d,SPY_Return_20d,Realized_Vol_20d,VIX_Change,VIX_Pct_Change,VIX_MA_10,VIX_MA_30,VIX_MA_50,VIX_vs_MA10,VIX_vs_MA30,VIX_Regime
2015-01-02,17.790000915527344,170.58958435058594,121465900,,,,,,,,,,,,Normal
2015-01-05,19.920000076293945,167.5087890625,169632600,-0.01805969162662635,,,,2.1299991607666016,0.11973013216134865,,,,,,Normal
2015-01-06,21.1200008392334,165.93106079101562,209151400,-0.00941877904027888,,,,1.2000007629394531,0.06024100192487092,,,,,,Elevated
2015-01-07,19.309999465942383,167.99879455566406,125346700,0.01246140267404594,,,,-1.8100013732910156,-0.08570081919356187,,,,,,Normal
2015-01-08,17.010000228881836,170.97994995117188,147217800,0.017745099918083262,,,,-2.299999237060547,-0.11910923359252923,,,,,,Normal
2015-01-09,17.549999237060547,169.60975646972656,158567300,-0.008013767005058847,-0.005743773188670698,,,0.5399990081787109,0.03174597301073678,,,,,,Normal
2015-01-12,19.600000381469727,168.28111267089844,144396100,-0.007833534028246047,0.004610645284470749,,,2.0500011444091797,0.11680918709558497,,,,,,Normal
2015-01-13,20.559999465942383,167.80776977539062,214553300,-0.002812810588158632,0.011310172884018588,,,0.9599990844726562,0.04897954417287975,,,,,,Elevated
2015-01-14,21.479999542236328,166.79470825195312,192991100,-0.006037035858312612,-0.00716723180601142,,,0.9200000762939453,0.04474708658518822,,,,,,Elevated
2015-01-15,22.389999389648438,165.26673889160156,176613900,-0.009160778398577651,-0.0334145089012009,,,0.9099998474121094,0.04236498448814063,19.672999954223634,,,0.13810803851709894,,Elevated
2015-01-16,20.950000762939453,167.43409729003906,211879600,0.013114304868441007,-0.012827441209585344,,,-1.4399986267089844,-0.06431436650126654,19.988999938964845,,,0.04807648341132441,,Elevated
